Date, Open, High, Low, Close, Adj, Volume
Dec 07 2017,1283.05,1290.42,1297.11,1281.94,1.33M,-0.61%
Dec 06 2017,1290.91,1292.24,1296.65,1280.89,1.41M,-0.09%
Dec 05 2017,1292.02,1289.79,1299.93,1288.39,1.17M,0.12%
Dec 04 2017,1290.45,1285.37,1303.27,1276.04,1.26M,0.09%
Dec 01 2017,1289.27,1291.75,1307.92,1285.13,1.03M,-0.27%
Nov 30 2017,1292.73,1300.89,1307.41,1285.86,4.30M,-0.80%
Nov 29 2017,1303.10,1312.58,1320.18,1299.10,1.45M,-1.01%
Nov 28 2017,1316.41,1316.75,1324.79,1308.90,911.72K,-0.02%
Nov 27 2017,1316.67,1317.73,1321.60,1305.08,1.86M,-0.08%
Nov 24 2017,1317.75,1314.79,1325.03,1310.42,2.29M,0.25%
Nov 23 2017,1314.42,1314.30,1320.18,1308.41,793.47K,0.02%
Nov 22 2017,1314.13,1310.38,1328.37,1310.08,1.82M,0.29%
Nov 21 2017,1310.35,1324.10,1324.10,1306.94,1.53M,-1.13%
Nov 20 2017,1325.30,1330.96,1336.80,1321.31,1.01M,-0.14%
Nov 17 2017,1327.19,1347.19,1347.19,1325.38,1.33M,-1.43%
Nov 16 2017,1346.48,1328.51,1354.50,1317.21,1.65M,1.53%
Nov 15 2017,1326.21,1326.55,1350.57,1324.27,6.67M,-0.34%
Nov 14 2017,1330.77,1351.33,1351.33,1327.29,1.66M,-1.61%
Nov 13 2017,1352.51,1324.62,1361.56,1324.62,1.50M,1.85%
Nov 10 2017,1327.90,1334.49,1336.36,1320.35,1.36M,-1.01%
Nov 09 2017,1341.46,1348.12,1348.12,1333.07,1.15M,0.05%
Nov 08 2017,1340.77,1334.89,1352.53,1332.56,1.40M,0.92%
Nov 07 2017,1328.54,1308.90,1356.95,1306.97,2.70M,1.67%
Nov 06 2017,1306.72,1284.39,1309.79,1280.35,1.38M,1.73%
Nov 03 2017,1284.44,1290.47,1292.58,1275.96,666.89K,-0.23%
Nov 02 2017,1287.41,1278.76,1310.87,1277.90,1.47M,0.89%
Nov 01 2017,1275.99,1286.35,1287.75,1264.22,741.88K,-0.81%
Oct 31 2017,1286.35,1275.23,1294.20,1275.23,1.59M,0.30%
Oct 30 2017,1282.53,1267.73,1284.39,1265.62,1.14M,1.23%
Oct 27 2017,1266.89,1244.19,1271.23,1240.42,1.41M,1.79%
Oct 26 2017,1244.61,1242.77,1259.47,1234.34,3.01M,-0.82%
Oct 25 2017D,1254.93,1264.05,1281.45,1252.53,1.11M,-0.72%
Oct 24 2017,1264.00,1284.39,1284.83,1259.42,1.34M,-0.37%
Oct 23 2017,1268.66,1266.75,1288.81,1248.83,1.89M,0.15%
Oct 19 2017,1266.70,1270.67,1272.53,1260.37,86.82K,-0.10%
Oct 18 2017,1268.02,1272.14,1281.28,1264.78,1.51M,-0.31%
Oct 17 2017,1271.92,1267.24,1281.92,1263.58,1.44M,0.39%
Oct 16 2017,1266.94,1252.55,1269.69,1252.55,1.22M,1.01%
Oct 13 2017E,1254.29,1249.20,1278.98,1236.84,4.07M,0.41%
Oct 12 2017,1249.20,1231.94,1252.53,1229.00,5.01M,1.91%
Oct 11 2017,1225.74,1205.96,1232.65,1204.36,1.53M,1.67%
Oct 10 2017,1205.59,1203.51,1210.83,1201.67,1.22M,0.21%
Oct 09 2017,1203.06,1196.67,1209.85,1196.67,1.77M,0.30%
Oct 06 2017,1199.41,1191.25,1203.51,1190.29,1.39M,0.70%
Oct 05 2017,1191.05,1196.64,1197.84,1188.51,1.68M,-0.52%
Oct 04 2017,1197.28,1200.86,1203.02,1188.80,1.30M,-0.25%
Oct 03 2017,1200.30,1196.15,1203.16,1189.80,1.92M,0.51%
Sep 29 2017,1194.17,1215.27,1217.72,1187.08,1.99M,-1.64%
Sep 28 2017,1214.02,1222.97,1232.43,1202.04,4.33M,-0.74%
Sep 27 2017,1223.12,1220.66,1231.55,1212.70,2.01M,0.82%
Sep 26 2017,1213.14,1230.47,1238.51,1208.90,1.45M,-1.44%
Sep 25 2017,1230.84,1223.87,1242.23,1222.01,1.60M,0.29%
Sep 22 2017,1227.33,1235.32,1238.75,1221.64,2.44M,-0.84%
Sep 21 2017,1237.77,1221.18,1245.67,1215.76,2.44M,1.26%
Sep 20 2017,1222.40,1232.43,1232.43,1212.97,1.33M,-0.19%
Sep 19 2017,1224.71,1228.02,1228.02,1221.40,782.75K,-0.03%
Sep 18 2017,1225.10,1227.99,1234.86,1220.30,726.60K,-0.28%
Sep 15 2017,1228.53,1225.08,1233.90,1218.21,2.94M,0.77%
Sep 14 2017,1219.17,1216.74,1224.39,1211.79,1.08M,-0.09%
Sep 13 2017,1220.27,1225.57,1241.08,1213.41,1.28M,0.03%
Sep 12 2017,1219.90,1212.77,1224.10,1204.49,1.40M,1.38%
Sep 11 2017,1203.24,1211.45,1217.21,1201.05,732.76K,-0.65%
Sep 08 2017,1211.15,1202.89,1212.82,1202.31,1.02M,0.43%
Sep 07 2017,1206.01,1204.98,1210.08,1201.57,870.64K,0.28%
Sep 06 2017,1202.62,1209.95,1213.24,1201.05,1.23M,-1.25%
Sep 05 2017,1217.89,1205.96,1220.66,1194.71,1.17M,1.15%
Sep 04 2017,1204.09,1202.57,1206.45,1195.17,1.06M,-0.01%
Sep 01 2017,1204.22,1215.76,1224.61,1194.46,1.70M,-1.60%
Aug 31 2017,1223.78,1218.21,1227.72,1209.22,1.78M,0.48%
Aug 30 2017,1217.99,1216.25,1220.66,1206.01,970.78K,0.55%
Aug 29 2017,1211.28,1216.74,1223.61,1207.89,1.31M,-0.66%
Aug 28 2017,1219.34,1227.82,1228.21,1206.45,2.04M,-0.37%
Aug 24 2017,1223.90,1224.44,1234.37,1218.78,1.62M,0.29%
Aug 23 2017,1220.39,1228.02,1233.80,1212.40,1.56M,-0.33%
Aug 22 2017,1224.37,1236.84,1244.93,1221.64,1.13M,-1.24%
Aug 21 2017,1239.68,1228.26,1249.59,1222.77,2.30M,0.60%
Aug 18 2017,1232.33,1212.82,1250.03,1211.55,2.84M,1.13%
Aug 17 2017,1218.53,1225.91,1228.02,1206.99,1.75M,-0.27%
Aug 16 2017,1221.82,1217.72,1247.04,1208.51,1.37M,0.93%
Aug 14 2017,1210.57,1227.04,1230.42,1207.43,786.50K,-1.07%
Aug 11 2017,1223.63,1225.52,1242.72,1217.23,1.39M,-0.61%
Aug 10 2017,1231.18,1229.98,1235.66,1218.87,1.53M,-0.02%
Aug 09 2017,1231.45,1225.57,1236.77,1222.28,992.95K,0.36%
Aug 08 2017,1227.06,1231.45,1239.59,1223.75,1.07M,-0.02%
Aug 07 2017,1227.26,1233.65,1235.37,1216.35,1.89M,-0.77%
Aug 04 2017,1236.74,1221.06,1239.44,1219.68,1.39M,1.34%
Aug 03 2017,1220.39,1215.76,1226.55,1209.12,1.88M,0.63%
Aug 02 2017,1212.72,1225.57,1229.49,1206.94,1.25M,-1.11%
Aug 01 2017,1226.38,1225.57,1235.74,1221.15,1.75M,0.40%
Jul 31 2017,1221.55,1211.35,1234.88,1207.43,2.02M,0.30%
Jul 28 2017,1217.87,1216.25,1222.16,1197.13,1.38M,0.10%
Jul 27 2017,1216.60,1246.25,1267.14,1209.14,4.26M,-2.91%
Jul 26 2017,1253.02,1254.98,1262.33,1248.61,1.46M,-0.60%
Jul 25 2017,1260.62,1238.19,1264.78,1234.59,2.68M,1.61%
Jul 24 2017D,1240.62,1216.74,1245.18,1216.74,2.27M,1.59%
Jul 21 2017,1221.25,1193.65,1225.57,1193.48,2.15M,1.90%
Jul 20 2017,1198.46,1200.69,1204.44,1191.50,1.18M,-0.20%
Jul 19 2017,1200.86,1184.14,1205.96,1183.95,3.92M,1.71%
Jul 18 2017,1180.64,1174.66,1197.62,1174.66,1.91M,0.54%
Jul 17 2017,1174.31,1175.42,1187.38,1167.82,2.21M,-0.08%
Jul 14 2017,1175.29,1168.21,1188.80,1164.29,4.51M,-2.00%
Jul 13 2017E,1199.29,1198.60,1211.84,1189.58,3.13M,0.29%
Jul 12 2017,1195.88,1216.99,1217.38,1191.30,2.65M,-1.47%
Jul 11 2017,1213.70,1189.29,1232.82,1189.29,3.54M,1.68%
Jul 10 2017,1193.68,1147.62,1198.55,1147.62,796.78K,4.42%
Jul 07 2017,1143.18,1152.03,1155.19,1140.02,1.23M,-0.66%
Jul 06 2017,1150.83,1156.44,1157.87,1147.18,1.03M,-0.36%
Jul 05 2017,1154.97,1157.33,1159.39,1149.58,815.86K,-0.46%
Jul 04 2017,1160.29,1163.45,1166.96,1152.06,1.22M,-0.28%
Jul 03 2017,1163.60,1155.66,1168.23,1148.65,1.48M,0.48%
Jun 30 2017,1158.09,1139.48,1165.27,1138.85,1.75M,1.25%
Jun 29 2017,1143.82,1156.44,1162.84,1138.85,2.47M,-0.72%
Jun 28 2017,1152.06,1151.98,1155.95,1144.68,1.79M,0.31%
Jun 27 2017,1148.53,1152.33,1169.04,1143.01,1.97M,-0.80%
Jun 23 2017,1157.77,1176.25,1183.38,1153.99,1.42M,-1.38%
Jun 22 2017,1174.02,1180.96,1191.74,1169.19,5.78M,-0.48%
Jun 21 2017,1179.63,1196.15,1197.21,1175.17,1.66M,-1.58%
Jun 20 2017,1198.60,1191.74,1200.56,1166.89,1.67M,0.55%
Jun 19 2017,1192.08,1184.83,1199.27,1179.07,1.64M,1.33%
Jun 16 2017,1176.40,1183.87,1193.70,1169.93,2.45M,-0.48%
Jun 15 2017,1182.03,1210.37,1210.71,1178.99,3.00M,-2.39%
Jun 14 2017,1210.96,1203.51,1213.80,1203.51,1.49M,0.76%
Jun 13 2017D,1201.81,1208.41,1216.30,1199.58,1.18M,-1.43%
Jun 12 2017,1219.29,1224.10,1231.89,1211.06,1.63M,-0.79%
Jun 09 2017,1229.00,1235.37,1248.80,1218.70,3.15M,-0.58%
Jun 08 2017,1236.16,1273.61,1277.02,1233.16,3.33M,-3.58%
Jun 07 2017,1282.06,1322.14,1323.61,1263.09,4.93M,-3.00%
Jun 06 2017,1321.65,1289.79,1328.00,1289.30,5.95M,3.53%
Jun 05 2017,1276.53,1257.43,1284.34,1255.05,1.50M,1.52%
Jun 02 2017,1257.38,1253.14,1270.59,1251.30,1.36M,0.44%
Jun 01 2017,1251.84,1240.27,1256.94,1240.27,1.08M,0.27%
May 31 2017,1248.41,1241.74,1261.11,1239.29,2.50M,-0.18%
May 30 2017,1250.62,1254.98,1262.80,1237.82,927.63K,-0.85%
May 29 2017,1261.28,1264.29,1272.87,1256.94,1.75M,-0.21%
May 26 2017,1263.93,1286.84,1287.75,1257.26,1.36M,-1.77%
May 25 2017,1286.65,1263.31,1293.00,1258.90,4.09M,2.56%
May 24 2017,1254.56,1242.63,1259.88,1240.10,2.53M,1.49%
May 23 2017,1236.20,1241.84,1257.01,1232.43,2.75M,-0.38%
May 22 2017,1240.93,1230.47,1251.92,1230.47,1.66M,0.96%
May 19 2017,1229.07,1243.31,1245.44,1218.70,1.79M,-1.15%
